shock,labor,measure,value
Slow,Compressive,Pretax,-0.0012
Slow,Compressive,Aftertax,-0.0009
Slow,Proportional,Pretax,0.0008
Slow,Proportional,Aftertax,0.0006
Slow,Expansive,Pretax,0.0028
Slow,Expansive,Aftertax,0.0026
Moderate,Compressive,Pretax,-0.0090
Moderate,Compressive,Aftertax,-0.0078
Moderate,Proportional,Pretax,0.0026
Moderate,Proportional,Aftertax,0.0032
Moderate,Expansive,Pretax,0.0141
Moderate,Expansive,Aftertax,0.0132
Rapid,Compressive,Pretax,-0.0155
Rapid,Compressive,Aftertax,-0.0138
Rapid,Proportional,Pretax,0.0060
Rapid,Proportional,Aftertax,0.0068
Rapid,Expansive,Pretax,0.0289
Rapid,Expansive,Aftertax,0.0271
